import time: self [us] | cumulative | imported package
import time:       473 |        473 |   _io
import time:        23 |         23 |   marshal
import time:       360 |        360 |   posix
import time:       482 |       1337 | _frozen_importlib_external
import time:       644 |        644 |   time
import time:       481 |       1124 | zipimport
import time:       138 |        138 |     _codecs
import time:       340 |        478 |   codecs
import time:       457 |        457 |   encodings.aliases
import time:      1891 |       2825 | encodings
import time:       249 |        249 | encodings.utf_8
import time:        43 |         43 | _signal
import time:        68 |         68 |     _abc
import time:        75 |        143 |   abc
import time:       261 |        404 | io
import time:        31 |         31 |       _stat
import time:       257 |        288 |     stat
import time:       660 |        660 |     _collections_abc
import time:        28 |         28 |       genericpath
import time:        55 |         83 |     posixpath
import time:       333 |       1362 |   os
import time:        37 |         37 |   _sitebuiltins
import time:       582 |        582 |   _distutils_hack
import time:        49 |         49 |   sitecustomize
import time:      2652 |       4681 | site
import time:       384 |        384 |     types
import time:      1938 |       1938 |     _ctypes
import time:      1062 |       1062 |       _struct
import time:       265 |       1326 |     struct
import time:       372 |        372 |     ctypes._endian
import time:      1503 |       5521 |   ctypes
import time:       188 |        188 |       itertools
import time:       207 |        207 |       keyword
import time:       172 |        172 |         _operator
import time:       353 |        525 |       operator
import time:       271 |        271 |       reprlib
import time:        32 |         32 |       _collections
import time:       681 |       1901 |     collections
import time:        69 |         69 |     _functools
import time:       980 |       2949 |   functools
import time:       534 |        534 |     contextlib
import time:      1039 |       1039 |       enum
import time:       407 |        407 |         _sre
import time:       381 |        381 |           re._constants
import time:       412 |        792 |         re._parser
import time:       294 |        294 |         re._casefix
import time:       490 |       1983 |       re._compiler
import time:       266 |        266 |       copyreg
import time:       775 |       4061 |     re
import time:       288 |        288 |     fnmatch
import time:       923 |       5804 |   glob
import time:       578 |        578 |     warnings
import time:       408 |        985 |   importlib
import time:      1689 |       1689 |       _ast
import time:      1036 |       2724 |     ast
import time:      1238 |       1238 |         _opcode
import time:       598 |       1835 |       opcode
import time:       991 |       2825 |     dis
import time:       331 |        331 |     collections.abc
import time:       177 |        177 |     importlib.machinery
import time:       302 |        302 |         token
import time:        21 |         21 |         _tokenize
import time:       867 |       1189 |       tokenize
import time:       247 |       1436 |     linecache
import time:      2038 |       9529 |   inspect
import time:      1315 |       1315 |   math
import time:        56 |         56 |     _wmi
import time:       469 |        525 |   platform
import time:       575 |        575 |   textwrap
import time:       280 |        280 |     _weakrefset
import time:       449 |        729 |   threading
import time:        20 |         20 |     _typing
import time:      1740 |       1760 |   typing
import time:      1748 |       1748 |     _socket
import time:      1362 |       3109 |   typing_extensions
import time:       554 |        554 |       traceback
import time:       440 |        440 |       weakref
import time:        20 |         20 |         _string
import time:       565 |        584 |       string
import time:        24 |         24 |       atexit
import time:      1732 |       3333 |     logging
import time:       445 |        445 |       _compat_pickle
import time:      1449 |       1449 |       _pickle
import time:       755 |       2648 |     pickle
import time:      1071 |       7051 |   torch._utils
import time:        46 |         46 |         errno
import time:      1338 |       1338 |         zlib
import time:       399 |        399 |           _compression
import time:      1273 |       1273 |           _bz2
import time:       413 |       2084 |         bz2
import time:      1462 |       1462 |           _lzma
import time:       430 |       1892 |         lzma
import time:      1505 |       6862 |       shutil
import time:      1107 |       1107 |           _bisect
import time:       283 |       1390 |         bisect
import time:      1436 |       1436 |         _random
import time:        68 |         68 |         _sha512
import time:     10981 |      10981 |           _hashlib
import time:      1589 |       1589 |           _blake2
import time:       785 |      13355 |         hashlib
import time:       665 |      16911 |       random
import time:       542 |      24315 |     tempfile
